country	1800	1801	1802	1803	1804	1805	1806	1807	1808	1809	1810	1811	1812	1813	1814	1815	1816	1817	1818	1819	1820	1821	1822	1823	1824	1825	1826	1827	1828	1829	1830	1831	1832	1833	1834	1835	1836	1837	1838	1839	1840	1841	1842	1843	1844	1845	1846	1847	1848	1849	1850	1851	1852	1853	1854	1855	1856	1857	1858	1859	1860	1861	1862	1863	1864	1865	1866	1867	1868	1869	1870	1871	1872	1873	1874	1875	1876	1877	1878	1879	1880	1881	1882	1883	1884	1885	1886	1887	1888	1889	1890	1891	1892	1893	1894	1895	1896	1897	1898	1899	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Afghanistan	3280000	3280000	3280000	3280000	3280000	3280000	3280000	3280000	3280000	3280000	3280000	3284352	3288704	3293056	3297408	3301760	3306111	3310463	3314815	3319167	3323519	3336065	3348612	3361158	3373704	3386250	3398797	3411343	3423889	3436436	3448982	3466586	3484190	3501794	3519398	3537002	3554606	3572210	3589814	3607418	3625022	3643524	3662027	3680530	3699032	3717534	3736037	3754540	3773042	3791544	3810047	3826439	3842831	3859223	3875615	3892008	3908400	3924792	3941184	3957576	3973968	3993540	4013112	4032685	4052257	4071829	4091401	4110973	4130546	4150118	4169690	4194690	4219691	4244692	4269692	4294692	4319693	4344694	4369694	4394694	4419695	4448743	4477790	4506838	4535885	4564933	4593981	4623028	4652076	4681123	4710171	4741278	4772385	4803492	4834599	4865706	4896813	4927920	4959027	4990134	5021241	5054258	5087275	5120293	5153310	5186327	5219344	5252361	5285379	5318396	5351413	5397653	5443893	5490133	5536373	5582614	5628854	5675094	5721334	5767574	5813814	5871923	5930033	5988142	6046252	6104361	6162470	6220580	6278689	6336799	6394908	6458825	6522743	6586660	6650577	6714494	6778412	6842329	6906246	6970164	7034081	7105885	7177688	7249492	7321296	7393100	7464903	7536707	7608511	7680314	7752118	7760849	7769580	7778310	7787041	7795772	7804503	7813234	7821964	7830695	7839426	7848963	7858500	7868038	7877575	7887112	7896649	7906186	7915724	7925261	7934798	7945149	7955501	7965852	7976204	7986555	7996906	8007258	8017609	8027961	8038312	8049484	8060657	8071830	8083002	8094174	8105347	8116520	8127692	8138864	8150037	8162036	8174034	8186033	8198032	8210030	8222029	8234028	8246027	8258025	8270024	8282852	8295681	8308510	8321338	8334166	8346995	8359824	8372652	8385480	8398309	13223960	18049610	22875261	27700911	32526562
Albania	410445	411760	413074	414389	415703	417018	418333	419647	420962	422276	423591	425099	426607	428115	429623	431131	432639	434147	435655	437163	438671	440527	442384	444240	446096	447952	449809	451665	453521	455378	457234	459333	461433	463532	465631	467730	469830	471929	474028	476128	478227	481093	483959	486826	489692	492558	495424	498290	501157	504023	506889	511480	516071	520662	525253	529844	534436	539027	543618	548209	552800	558524	564247	569971	575694	581418	587142	592865	598589	604312	610036	616287	622538	628788	635039	641290	647541	653792	660042	666293	672544	679458	686373	693287	700202	707116	714030	720945	727859	734774	741688	749514	757340	765167	772993	780819	788645	796471	804298	812124	819950	828067	836184	844302	852419	860536	868653	876770	884888	893005	901122	907405	913689	919972	926256	932539	938822	945106	951389	957673	963956	969160	974363	979566	984770	989974	995177	1000380	1005584	1010788	1015991	1026713	1037435	1048157	1058879	1069600	1080322	1091044	1101766	1112488	1123210	1137206	1151202	1165198	1179194	1193190	1207187	1221183	1235179	1249175	1263171	1265604	1268037	1270469	1272902	1275335	1277768	1280201	1282633	1285066	1287499	1290358	1293216	1296075	1298934	1301792	1304651	1307510	1310369	1313227	1316086	1319287	1322488	1325689	1328890	1332092	1335293	1338494	1341695	1344896	1348097	1351575	1355054	1358532	1362011	1365489	1368967	1372446	1375924	1379403	1382881	1386590	1390299	1394007	1397716	1401425	1405134	1408843	1412551	1416260	1419969	1423881	1427793	1431705	1435617	1439529	1443441	1447353	1451265	1455177	1459089	1746607	2034125	2321643	2609161	2896679
Algeria	2503218	2512402	2521586	2530769	2539953	2549137	2558321	2567505	2576688	2585872	2595056	2606858	2618661	2630463	2642265	2654068	2665870	2677672	2689474	2701277	2713079	2729807	2746534	2763262	2779989	2796717	2813445	2830172	2846900	2863627	2880355	2900592	2920828	2941065	2961301	2981538	3001775	3022011	3042248	3062484	3082721	3104379	3126038	3147696	3169355	3191013	3212671	3234330	3255988	3277647	3299305	3323021	3346738	3370454	3394170	3417886	3441603	3465319	3489035	3512752	3536468	3563924	3591380	3618836	3646292	3673748	3701204	3728660	3756116	3783572	3811028	3844242	3877455	3910668	3943882	3977096	4010309	4043522	4076736	4109950	4143163	4181416	4219669	4257921	4296174	4334427	4372680	4410933	4449185	4487438	4525691	4567738	4609786	4651834	4693881	4735928	4777976	4820024	4862071	4904118	4946166	4991954	5037742	5083530	5129318	5175106	5220893	5266681	5312469	5358257	5404045	5470020	5535996	5601972	5667947	5733922	5799898	5865874	5931849	5997824	6063800	6145039	6226278	6307517	6388756	6469995	6551234	6632473	6713712	6794951	6876190	6968313	7060436	7152558	7244681	7336804	7428927	7521050	7613172	7705295	7797418	7904901	8012384	8119867	8227350	8334832	8442315	8549798	8657281	8764764	8872247	8889014	8905780	8922547	8939313	8956080	8972847	8989613	9006380	9023146	9039913	9057561	9075209	9092858	9110506	9128154	9145802	9163450	9181099	9198747	9216395	9235300	9254205	9273110	9292015	9310920	9329825	9348730	9367635	9386540	9405445	9425851	9446257	9466664	9487070	9507476	9527882	9548288	9568695	9589101	9609507	9631528	9653549	9675570	9697591	9719612	9741633	9763654	9785675	9807696	9829717	9853328	9876939	9900551	9924162	9947773	9971384	9994995	10018607	10042218	10065829	15985967	21906105	27826243	33746381	39666519
Angola	1567028	1567028	1567028	1567028	1567028	1567028	1567028	1567028	1567028	1567028	1567028	1570078	1573128	1576179	1579229	1582279	1585329	1588379	1591430	1594480	1597530	1606416	1615302	1624188	1633074	1641960	1650846	1659732	1668618	1677504	1686390	1699061	1711732	1724403	1737074	1749745	1762416	1775087	1787758	1800429	1813100	1826723	1840346	1853969	1867592	1881214	1894837	1908460	1922083	1935706	1949329	1965471	1981613	1997754	2013896	2030038	2046180	2062322	2078463	2094605	2110747	2128214	2145681	2163148	2180615	2198082	2215549	2233016	2250483	2267950	2285417	2304235	2323053	2341871	2360689	2379507	2398325	2417143	2435961	2454779	2473597	2493942	2514287	2534632	2554977	2575322	2595667	2616012	2636357	2656702	2677047	2699158	2721269	2743379	2765490	2787601	2809712	2831823	2853933	2876044	2898155	2922011	2945868	2969724	2993580	3017436	3041293	3065149	3089005	3112862	3136718	3161812	3186907	3212002	3237096	3262190	3287285	3312380	3337474	3362568	3387663	3413117	3438570	3464024	3489478	3514932	3540385	3565839	3591293	3616746	3642200	3669981	3697762	3725543	3753324	3781106	3808887	3836668	3864449	3892230	3920011	3963498	4006985	4050472	4093959	4137446	4180934	4224421	4267908	4311395	4354882	4363364	4371847	4380329	4388811	4397294	4405776	4414258	4422740	4431223	4439705	4448673	4457640	4466608	4475575	4484543	4493511	4502478	4511446	4520413	4529381	4538612	4547843	4557074	4566305	4575536	4584767	4593998	4603229	4612460	4621691	4631019	4640347	4649675	4659003	4668330	4677658	4686986	4696314	4705642	4714970	4724284	4733599	4742913	4752228	4761542	4770856	4780171	4789485	4798800	4808114	4817362	4826610	4835858	4845106	4854354	4863602	4872850	4882098	4891346	4900594	8924870	12949146	16973422	20997698	25021974
Antigua and Barbuda	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	37000	36953	36906	36860	36813	36766	36719	36672	36626	36579	36532	36433	36335	36236	36138	36039	35940	35842	35743	35645	35546	35514	35481	35449	35416	35384	35352	35319	35287	35254	35222	35328	35435	35541	35648	35754	35860	35967	36073	36180	36286	36150	36014	35878	35742	35606	35469	35333	35197	35061	34925	34644	34364	34083	33803	33522	33241	32961	32680	32400	32119	31907	31695	31483	31271	31060	30848	30636	30424	30212	30000	30365	30729	31094	31459	31824	32188	32553	32918	33282	33647	34132	34617	35101	35586	36071	36556	37041	37525	38010	38495	39276	40056	40837	41617	42398	43179	43959	44740	45520	46301	46502	46702	46902	47103	47304	47504	47704	47905	48106	48306	48464	48622	48780	48938	49096	49255	49413	49571	49729	49887	50008	50128	50248	50369	50490	50610	50730	50851	50972	51092	51181	51269	51358	51447	51536	51624	51713	51802	51890	51979	52042	52105	52169	52232	52295	52358	52421	52485	52548	52611	52656	52701	52746	52791	52836	52882	52927	52972	53017	53062	60813	68564	76316	84067	91818
Argentina	534000	534000	534000	534000	534000	534000	534000	534000	534000	534000	534000	537672	541344	545016	548688	552360	556031	559703	563375	567047	570719	582317	593916	605514	617113	628711	640309	651908	663506	675105	686703	705407	724112	742816	761521	780225	798929	817634	836338	855043	873747	897691	921635	945580	969524	993468	1017412	1041356	1065301	1089245	1113189	1144003	1174818	1205632	1236447	1267261	1298075	1328890	1359704	1390519	1421333	1464888	1508444	1551999	1595554	1639110	1682665	1726220	1769775	1813331	1856886	1920513	1984140	2047767	2111394	2175021	2238648	2302275	2365902	2429529	2493156	2584068	2674979	2765891	2856803	2947714	3038626	3129538	3220450	3311361	3402273	3537709	3673145	3808582	3944018	4079454	4214890	4350326	4485763	4621199	4756635	4966238	5175842	5385445	5595048	5804652	6014255	6223858	6433461	6643065	6852668	7055891	7259113	7462336	7665558	7868781	8072004	8275226	8478449	8681671	8884894	9186230	9487565	9788900	10090236	10391572	10692907	10994242	11295578	11596914	11898249	12128505	12358762	12589018	12819275	13049531	13279787	13510044	13740300	13970557	14200813	14495765	14790717	15085670	15380622	15675574	15970526	16265478	16560431	16855383	17150335	17186015	17221694	17257374	17293054	17328734	17364413	17400093	17435773	17471452	17507132	17543028	17578925	17614822	17650718	17686614	17722511	17758408	17794304	17830200	17866097	17901902	17937708	17973513	18009318	18045124	18080929	18116734	18152539	18188345	18224150	18259639	18295128	18330617	18366106	18401596	18437085	18472574	18508063	18543552	18579041	18614072	18649103	18684134	18719165	18754196	18789226	18824257	18859288	18894319	18929350	18963868	18998385	19032903	19067420	19101938	19136456	19170973	19205491	19240008	19274526	24102972	28931418	33759863	38588309	43416755
Armenia	413326	413326	413326	413326	413326	413326	413326	413326	413326	413326	413326	414346	415366	416386	417406	418426	419447	420467	421487	422507	423527	426525	429523	432521	435519	438517	441515	444513	447511	450509	453507	457840	462173	466505	470838	475171	479504	483837	488169	492502	496835	501582	506328	511075	515822	520568	525315	530062	534809	539555	544302	549465	554627	559790	564952	570115	575278	580440	585603	590765	595928	601580	607232	612885	618537	624189	629841	635493	641146	646798	652450	658601	664751	670902	677053	683204	689354	695505	701656	707806	713957	720683	727409	734135	740861	747588	754314	761040	767766	774492	781218	788628	796037	803446	810856	818266	825675	833084	840494	847904	855313	863394	871475	879556	887637	895718	903800	911881	919962	928043	936124	945019	953913	962808	971702	980597	989492	998386	1007281	1016175	1025070	1034864	1044657	1054451	1064244	1074038	1083832	1093625	1103419	1113212	1123006	1133735	1144464	1155194	1165923	1176652	1187381	1198110	1208840	1219569	1230298	1242619	1254940	1267260	1279581	1291902	1304223	1316544	1328864	1341185	1353506	1356454	1359401	1362349	1365296	1368244	1371192	1374139	1377087	1380034	1382982	1386675	1390368	1394061	1397754	1401448	1405141	1408834	1412527	1416220	1419913	1424223	1428534	1432844	1437155	1441465	1445775	1450086	1454396	1458707	1463017	1467834	1472651	1477468	1482285	1487102	1491920	1496737	1501554	1506371	1511188	1516420	1521652	1526884	1532116	1537348	1542580	1547812	1553044	1558276	1563508	1569081	1574655	1580228	1585802	1591375	1596948	1602522	1608095	1613669	1619242	1898936	2178630	2458324	2738018	3017712
Australia	351014	350157	349299	348442	347584	346727	345870	345012	344155	343297	342440	341596	340752	339909	339065	338221	337377	336533	335690	334846	334002	335416	336830	338244	339658	341072	342487	343901	345315	346729	348143	356738	365333	373929	382524	391119	399714	408309	416905	425500	434095	464947	495800	526652	557505	588357	619209	650062	680914	711767	742619	793962	845305	896648	947991	999334	1050676	1102019	1153362	1204705	1256048	1302864	1349681	1396498	1443314	1490130	1536947	1583764	1630580	1677396	1724213	1777092	1829972	1882851	1935731	1988610	2041489	2094369	2147248	2200128	2253007	2336587	2420167	2503747	2587327	2670908	2754488	2838068	2921648	3005228	3088808	3154298	3219788	3285278	3350768	3416258	3481748	3547238	3612728	3678218	3743708	3810158	3876608	3943058	4009508	4075958	4142409	4208859	4275309	4341759	4408209	4501931	4595653	4689375	4783097	4876818	4970540	5064262	5157984	5251706	5345428	5458266	5571103	5683940	5796778	5909616	6022453	6135290	6248128	6360966	6473803	6531624	6589445	6647266	6705087	6762908	6820728	6878549	6936370	6994191	7052012	7164545	7277078	7389612	7502145	7614678	7727211	7839744	7952278	8064811	8177344	8201374	8225403	8249433	8273462	8297492	8321522	8345551	8369581	8393610	8417640	8438581	8459522	8480464	8501405	8522346	8543287	8564228	8585170	8606111	8627052	8646541	8666029	8685518	8705006	8724495	8743984	8763472	8782961	8802449	8821938	8841195	8860452	8879709	8898966	8918223	8937480	8956737	8975994	8995251	9014508	9034340	9054171	9074003	9093834	9113666	9133498	9153329	9173161	9192992	9212824	9233602	9254380	9275157	9295935	9316713	9337491	9358269	9379046	9399824	9420602	12330276	15239950	18149625	21059299	23968973
Austria	3205587	3213693	3221800	3229906	3238012	3246118	3254225	3262331	3270437	3278544	3286650	3297106	3307561	3318017	3328472	3338928	3349384	3359839	3370295	3380750	3391206	3405914	3420622	3435330	3450038	3464746	3479454	3494162	3508870	3523578	3538286	3557296	3576305	3595314	3614324	3633334	3652343	3671352	3690362	3709372	3728381	3751805	3775229	3798652	3822076	3845500	3868924	3892348	3915771	3939195	3962619	3989950	4017280	4044611	4071942	4099272	4126603	4153934	4181265	4208595	4235926	4267999	4300072	4332146	4364219	4396292	4428365	4460438	4492512	4524585	4556658	4595695	4634732	4673768	4712805	4751842	4790879	4829916	4868952	4907989	4947026	4993174	5039321	5085469	5131617	5177764	5223912	5270060	5316208	5362355	5408503	5465625	5522747	5579870	5636992	5694114	5751236	5808358	5865481	5922603	5979725	6042568	6105411	6168254	6231097	6293940	6356783	6419626	6482469	6545312	6608155	6593280	6578404	6563529	6548653	6533778	6518903	6504027	6489152	6474276	6459401	6481867	6504332	6526798	6549264	6571730	6594195	6616661	6639127	6661592	6684058	6685725	6687391	6689058	6690724	6692391	6694058	6695724	6697391	6699057	6700724	6724296	6747868	6771440	6795012	6818584	6842157	6865729	6889301	6912873	6936445	6935835	6935226	6934616	6934006	6933396	6932787	6932177	6931567	6930958	6930348	6930242	6930136	6930030	6929924	6929818	6929713	6929607	6929501	6929395	6929289	6929603	6929917	6930230	6930544	6930858	6931172	6931486	6931799	6932113	6932427	6933107	6933788	6934468	6935148	6935828	6936509	6937189	6937869	6938550	6939230	6940255	6941280	6942306	6943331	6944356	6945381	6946406	6947432	6948457	6949482	6950864	6952245	6953627	6955008	6956390	6957772	6959153	6960535	6961916	6963298	7279556	7595813	7912071	8228328	8544586
Azerbaijan	879960	879960	879960	879960	879960	879960	879960	879960	879960	879960	879960	882141	884322	886504	888685	890866	893047	895228	897410	899591	901772	908184	914595	921006	927418	933830	940241	946652	953064	959476	965887	975156	984424	993693	1002962	1012230	1021499	1030768	1040037	1049305	1058574	1068732	1078890	1089049	1099207	1109365	1119523	1129681	1139840	1149998	1160156	1171196	1182236	1193276	1204316	1215356	1226396	1237436	1248476	1259516	1270556	1282646	1294737	1306827	1318918	1331008	1343098	1355189	1367279	1379370	1391460	1404620	1417780	1430940	1444100	1457260	1470420	1483580	1496740	1509900	1523060	1537455	1551850	1566245	1580640	1595036	1609431	1623826	1638221	1652616	1667011	1682874	1698737	1714599	1730462	1746325	1762188	1778051	1793913	1809776	1825639	1842944	1860249	1877554	1894859	1912164	1929470	1946775	1964080	1981385	1998690	2017750	2036810	2055870	2074930	2093990	2113051	2132111	2151171	2170231	2189291	2210300	2231308	2252317	2273325	2294334	2315343	2336351	2357360	2378368	2399377	2422402	2445426	2468451	2491475	2514500	2537525	2560549	2583574	2606598	2629623	2656260	2682898	2709535	2736173	2762810	2789447	2816085	2842722	2869360	2895997	2902931	2909865	2916799	2923733	2930668	2937602	2944536	2951470	2958404	2965338	2973347	2981356	2989365	2997374	3005384	3013393	3021402	3029411	3037420	3045429	3054256	3063084	3071911	3080739	3089566	3098393	3107221	3116048	3124876	3133703	3143156	3152609	3162062	3171515	3180968	3190421	3199874	3209327	3218780	3228233	3238183	3248133	3258083	3268033	3277983	3287933	3297883	3307833	3317783	3327733	3338119	3348506	3358892	3369279	3379665	3390051	3400438	3410824	3421211	3431597	4696071	5960545	7225020	8489494	9753968
